Frequency,amp(Vo1),phase(Vo1)
100,53.703053490000002,-90.014573400000003
113.2346651,52.620107619999999,-90.013033919999998
128.22089389999999,51.539238150000003,-90.014266050000003
145.1904998,50.449983029999999,-90.038119519999995
164.40597629999999,49.376677630000003,-90.014749640000005
186.16455669999999,48.297550200000003,-89.991912619999994
210.8028123,47.217951550000002,-89.989083480000005
238.70185860000001,46.132922149999999,-90.02668371
270.29325030000001,45.060738829999998,-89.983511739999997
306.0656568,43.98030138,-90.022622650000002
346.57242159999998,42.897486729999997,-90.008158859999995
392.44012099999998,41.828845370000003,-90.005887079999994
444.3782569,40.749765009999997,-89.991131780000003
503.19023110000001,39.679144690000001,-89.996055209999994
569.78577310000003,38.603902949999998,-90.005633790000005
645.19501209999999,37.528142080000002,-90.025458549999996
730.58441140000002,36.463492979999998,-90.033364489999997
827.27481179999995,35.395584149999998,-90.043178670000003
936.76186280000002,34.339829829999999,-90.053457679999994
1060.7391580000001,33.28693749,-90.072482339999993
1201.1244340000001,32.244020130000003,-90.06914707
1360.0892309999999,31.213462109999998,-90.101713770000003
1540.092486,30.184189230000001,-90.136802380000006
1743.9185689999999,29.172273579999999,-90.227530619999996
1974.720352,28.191542500000001,-90.278874349999995
2236.0679770000002,27.223751969999999,-90.425112999999996
2532.0040859999999,26.29870747,-90.619452550000005
2867.1063479999998,25.42681215,-90.855116480000007
3246.5582720000002,24.60108018,-91.262242950000001
3676.2293880000002,23.852723109999999,-91.860804160000001
4162.7660370000003,23.213820550000001,-92.693380070000003
4713.6941820000002,22.718169549999999,-93.959567309999997
5337.5358219999998,22.392103129999999,-95.987911620000006
6043.9408149999999,22.327820710000001,-99.218142599999993
6843.8361420000001,22.600605860000002,-104.7113581
7749.5949380000002,23.31731774,-114.68596770000001
8775.2278769999994,24.283020690000001,-134.2043041
9936.5999009999996,23.864981799999999,-168.15492040000001
11251.67562,20.214476959999999,-201.30366079999999
12740.797210000001,15.40061929,-220.20454100000001
14426.99906,10.85579149,-230.4647592
16336.36407,6.7115744480000004,-236.76538120000001
18498.42715,2.8751651979999999,-241.18037279999999
20946.63204,-0.75182907750000005,-244.60691199999999
23718.84865,-4.2452782620000002,-247.46504830000001
26857.958839999999,-7.6539495300000002,-249.9530863
30412.519749999999,-10.97854967,-252.04118800000001
34437.514900000002,-14.19248763,-254.48087029999999
38995.204669999999,-17.566413000000001,-256.00656070000002
44156.08943,-20.546363039999999,-256.60620369999998
50000,-19.423222039999999,-259.1815019
